Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),33.0,69.0,63.5,67.5,31.5,2020,692.22,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),30.0,63.0,78.5,60.0,45.0,2020,695.0,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),28.0,74.0,67.0,60.0,38.0,2020,697.41,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),27.0,65.0,74.5,63.3,46.0,2020,700.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),25.0,62.0,80.5,60.8,40.0,2020,700.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),23.0,70.0,67.0,65.8,38.0,2020,702.04,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),20.0,77.0,63.5,62.5,37.0,2020,705.19,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),12.0,76.0,65.0,68.33,36.5,2020,725.93,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),1.0,74.0,71.5,64.2,36.5,2020,726.3,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),11.0,70.0,79.0,61.7,41.5,2020,728.15,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),7.0,75.0,66.5,74.17,36.0,2020,746.67,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),6.0,71.0,84.0,61.7,46.5,2020,748.52,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),5.0,73.0,83.0,72.5,47.0,2020,755.37,,,,Fuvest,,,,,,,,,,,,
ECA,Artes Cênicas,Ampla Concorrência (AC),15.0,51.0,75.0,65.0,40.0,2020,655.5555555999999,,,,Fuvest,,,,,,,,,,,,
ECA,Artes Visuais,"Pretos, Pardos e Indígenas (PPI)",4.0,45.0,43.0,32.5,28.0,2020,418.3333333,,,,Fuvest,,,,,,,,,,,,
ECA,Artes Visuais,Ampla Concorrência (AC),7.0,51.0,57.0,39.0,28.5,2019,508.8888888999999,,,,Fuvest,,,,,,,,,,,,
ECA,Audiovisual,Escola Pública (EP),3.0,53.0,86.5,48.33,48.0,2019,645.7296296,,,,Fuvest,,,,,,,,,,,,
ECA,Audiovisual,Ampla Concorrência (AC),27.0,57.0,62.75,68.75,31.5,2017,649.4444444000001,,,,Fuvest,,,,,,,,,,,,
ECA,Audiovisual,Ampla Concorrência (AC),8.0,69.0,71.5,63.33,40.0,2020,704.9888889,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Escola Pública (EP),32.0,51.0,51.88,31.25,30.0,0,465.9888889,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Escola Pública (EP),7.0,52.0,68.0,34.0,43.0,2020,532.5925926,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Escola Pública (EP),5.0,60.0,55.0,41.67,31.5,2020,544.4555556,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),27.0,57.0,59.5,49.17,32.0,0,573.3444444,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),20.0,64.0,68.0,41.67,36.0,2020,602.6037037000001,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),17.0,65.0,68.0,44.17,36.0,0,614.6407407,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),11.0,60.0,62.5,68.33,36.0,2020,658.3222222,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),8.0,72.0,61.5,64.17,36.5,2020,685.5666667,,,,Fuvest,,,,,,,,,,,,
EACH,Biotecnologia,Ampla Concorrência (AC),1.0,78.0,56.5,77.5,33.0,0,735.5555555999999,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),39.0,66.0,46.5,45.83,30.0,2020,552.2111111,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),15.0,69.0,60.0,45.0,34.0,2020,605.5555555999999,,,,Fuvest,,,,,,,,,,,,
IME,Ciência da Computação,Escola Pública (EP),16.0,58.0,80.5,40.0,50.0,2019,616.4814815000001,,,,Fuvest,,,,,,,,,,,,
